Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000644165065527376,-3.35619100197445E-18,0.38743266690136,0,0,0,96.9136296338022,2.38886837855272,-1.23188622578839E-16,-0.00214186650953037,7.80200314580561,-1.32310636050657E-17,9.55027150851434,0,0,0,0,0,0,package://mobile_manipulator/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mobile_manipulator/meshes/base_link.STL,,base-1,robot_base_coord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left_steering,-5.55111512312578E-17,2.77555756156289E-17,-0.00100979154458806,0,0,0,1.20764682220137,0.00246925151599424,1.12973189801329E-19,4.11518887968338E-19,0.00412813483107971,-4.31357938885303E-19,0.00351559812829262,0,0,0,0,0,0,package://mobile_manipulator/meshes/front_left_steering.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mobile_manipulator/meshes/front_left_steering.STL,,front_right_wheel-1/wheel cover-1;front_right_wheel-1/wheel handle-1;front_right_wheel-1/wheel handle-2,front_left_steering_coord,front_left_steering_axis,front_left_steering_joint,revolute,0.254,0.12,0.2365,0,0,3.1416,base_link,0,0,1,0,0,0,0,,,,,,,,
front_left_wheel,-5.55111512312578E-17,-2.77555756156289E-17,-0.068,0,0,0,2.4558140982851,0.00741941487915618,-1.21590829930798E-36,3.75517939949407E-21,0.00741941487915618,-1.61219743567717E-35,0.012407928301343,0,0,0,0,0,0,package://mobile_manipulator/meshes/front_left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mobile_manipulator/meshes/front_left_wheel.STL,,front_right_wheel-1/wheel_shaft-1;front_right_wheel-1/wheel-1,front_left_wheel_coord,front_left_wheel_axis,front_left_wheel_joint,continuous,0,-0.068,-0.135,1.5708,0,0,front_left_steering,0,0,1,,,,,,,,,,,,
front_right_steering,0,0,-0.0010098,0,0,0,1.2076,0.0024693,3.1083E-19,2.4445E-19,0.0041281,-4.0001E-19,0.0035156,0,0,0,0,0,0,package://mobile_manipulator/meshes/front_right_steering.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mobile_manipulator/meshes/front_right_steering.STL,,front_left_wheel-1/wheel cover-1;front_left_wheel-1/wheel handle-1;front_left_wheel-1/wheel handle-2,front_right_steering_coord,front_right_steering_axis,front_right_steering_joint,revolute,0.254,-0.12,0.2365,0,0,3.1416,base_link,0,0,1,0,0,0,0,,,,,,,,
front_right_wheel,-5.55111512312578E-17,-2.77555756156289E-17,0.068,0,0,0,2.4558140982851,0.00741941487915618,-1.21590829930796E-36,-1.09998260108621E-19,0.00741941487915618,-1.61219743567717E-35,0.012407928301343,0,0,0,0,0,0,package://mobile_manipulator/meshes/front_right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mobile_manipulator/meshes/front_right_wheel.STL,,front_left_wheel-1/wheel_shaft-1;front_left_wheel-1/wheel-1,front_right_wheel_coord,front_right_wheel_axis,front_right_wheel_joint,continuous,0,0.068,-0.135,1.5708,0,0,front_right_steering,0,0,1,,,,,,,,,,,,
back_left_steering,-0.254,0.12,0.239368028274236,0,0,0,1.30620935752366,0.00275590353584088,7.90858358456072E-20,-3.20596364961941E-19,0.00441705252066951,4.79649320911441E-19,0.00364730238636921,0,0,0,0,0,0,package://mobile_manipulator/meshes/back_left_steering.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mobile_manipulator/meshes/back_left_steering.STL,,back_left_wheel-1/back_wheel cover-1;back_left_wheel-1/wheel handle-2;back_left_wheel-1/wheel handle-1,robot_base_coord,,back_left_steering_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
back_left_wheel,5.5511E-17,-2.7756E-17,-0.068,0,0,0,2.4558,0.0074194,-1.2159E-36,-3.7552E-21,0.0074194,-1.6122E-35,0.012408,0,0,0,0,0,0,package://mobile_manipulator/meshes/back_left_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mobile_manipulator/meshes/back_left_wheel.STL,,back_left_wheel-1/wheel_shaft-1;back_left_wheel-1/wheel-1,back_left_wheel_coord,back_wheel_axis,back_left_wheel_joint,continuous,-0.254,0.188,0.1015,1.5708,0,3.1416,back_left_steering,0,0,1,,,,,,,,,,,,
back_right_steering,-0.254,-0.12,0.23937,0,0,0,1.3062,0.0027559,2.6328E-19,-2.6158E-19,0.0044171,4.5407E-19,0.0036473,0,0,0,0,0,0,package://mobile_manipulator/meshes/back_right_steering.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://mobile_manipulator/meshes/back_right_steering.STL,,back_right_wheel-1/back_wheel cover-1;back_right_wheel-1/wheel handle-2;back_right_wheel-1/wheel handle-1,robot_base_coord,,back_right_steering_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
back_right_wheel,5.55111512312578E-17,-2.77555756156289E-17,0.068,0,0,0,2.4558140982851,0.00741941487915618,-1.21590829930796E-36,-1.41567439917769E-19,0.00741941487915618,-1.61219743567717E-35,0.012407928301343,0,0,0,0,0,0,package://mobile_manipulator/meshes/back_right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mobile_manipulator/meshes/back_right_wheel.STL,,back_right_wheel-1/wheel_shaft-1;back_right_wheel-1/wheel-1,back_right_wheel_coord,back_wheel_axis,back_right_wheel_joint,continuous,-0.254,-0.188,0.1015,1.5708,0,3.1416,back_right_steering,0,0,1,,,,,,,,,,,,
laser,5.55111512312578E-17,9.49145585482929E-19,0.00785714285714281,0,0,0,0.00366519142918809,1.69702103162663E-07,8.8232598672323E-24,6.55442161565827E-24,1.69702103162663E-07,3.31776222837145E-24,1.21736715326605E-07,0,0,0,0,0,0,package://mobile_manipulator/meshes/laser.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mobile_manipulator/meshes/laser.STL,,laser_lidar-1,lidar_coord,lidar_axis,laser_joint,fixed,0.35,0,0.4915,0,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
